Respondent,Professional,Countries,EmploymentStatus,CompanySize,CompanyType,JobSatisfaction,JobSeekingStatus,ImportantBenefits
35005,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Equipment; Expected work hours; Remote options
35019,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Annual bonus; Vacation/days off; Professional development sponsorship; Long-term leave; Remote options
35022,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
35035,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Annual bonus; Vacation/days off; Equipment; Remote options; Child/elder care
35037,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
35089,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
35147,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Stock options; Annual bonus; Health benefits; Equipment; Long-term leave
35419,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Professional development sponsorship; Long-term leave; Remote options
35779,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
35809,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Professional development sponsorship; Expected work hours; Remote options; Meals
35902,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Vacation/days off; Health benefits; Expected work hours; Remote options
36020,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Expected work hours; Remote options
36120,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
36287,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
36411,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
36524,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
36535,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Vacation/days off; Professional development sponsorship; Long-term leave; Expected work hours; Child/elder care
36980,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Equipment; Private office; Remote options
36997,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Professional development sponsorship; Education sponsorship; Remote options
37066,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
37354,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Vacation/days off; Professional development sponsorship; Remote options
37748,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Vacation/days off; Health benefits; Long-term leave; Expected work hours; Remote options
37936,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Expected work hours; Remote options; Meals
38213,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
38516,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Annual bonus; Health benefits; Equipment; Long-term leave; Remote options
38820,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
38842,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
38970,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
39144,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Retirement; Vacation/days off; Health benefits; Education sponsorship; Expected work hours
39235,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
39320,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Professional development sponsorship; Education sponsorship; Expected work hours; Remote options; Meals
39524,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Equipment; Professional development sponsorship
39702,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Equipment; Professional development sponsorship; Education sponsorship
39824,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Professional development sponsorship; Long-term leave; Expected work hours; Remote options
40095,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
40110,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Retirement; Vacation/days off; Education sponsorship; Remote options
40323,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Equipment; Expected work hours
40450,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Professional development sponsorship; Expected work hours; Remote options
40518,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Expected work hours; Remote options
40606,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
40625,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
40780,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Equipment; Expected work hours; Remote options
40788,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Retirement; Annual bonus; Vacation/days off; Education sponsorship; Remote options
40850,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Retirement; Annual bonus; Health benefits; Equipment; Professional development sponsorship
40968,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Retirement; Vacation/days off; Health benefits; Long-term leave; Remote options
41042,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Vacation/days off; Health benefits; Equipment; Expected work hours; Remote options
41127,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Annual bonus; Equipment; Professional development sponsorship; Remote options; Other
41181,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Annual bonus; Health benefits; Professional development sponsorship; Education sponsorship; Meals
41213,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Retirement; Health benefits
41275,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Private office; Long-term leave; Expected work hours; Remote options
41371,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Vacation/days off; Professional development sponsorship; Long-term leave; Expected work hours; Meals
41415,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Equipment; Professional development sponsorship; Education sponsorship; Expected work hours
41532,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Professional development sponsorship; Education sponsorship
41660,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Annual bonus; Vacation/days off; Health benefits
41694,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Stock options; Annual bonus; Vacation/days off; Equipment; Expected work hours
41910,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,2,I am actively looking for a job,Retirement; Annual bonus; Health benefits; Equipment; Expected work hours
41914,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Annual bonus; Education sponsorship; Remote options
41931,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
41959,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Equipment; Professional development sponsorship; Expected work hours
42124,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Health benefits; Equipment; Professional development sponsorship
42211,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
42377,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Annual bonus; Vacation/days off; Health benefits
42405,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
42493,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
42532,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
42545,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Stock options; Equipment; Professional development sponsorship; Expected work hours; Remote options
42733,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Equipment; Expected work hours
42755,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
42762,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
42811,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,I am not interested in new job opportunities,Stock options; Equipment; Private office; Professional development sponsorship
42835,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
43103,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Stock options; Vacation/days off; Health benefits; Professional development sponsorship; Remote options
43138,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,I am actively looking for a job,Vacation/days off; Health benefits; Professional development sponsorship; Expected work hours; Remote options
43181,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Equipment; Expected work hours; Remote options
43284,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
43301,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
43344,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Equipment; Private office; Professional development sponsorship; Remote options; Other
43420,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Charitable match; Health benefits
43431,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,1,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Equipment; Professional development sponsorship; Long-term leave
43489,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,1,NA,NA
43490,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Health benefits; Equipment; Expected work hours
43509,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Health benefits; Expected work hours; Remote options
43553,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Expected work hours; Remote options
43635,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Professional development sponsorship; Expected work hours; Remote options
43667,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
43682,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
43697,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
43698,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,3,I am actively looking for a job,Vacation/days off; Equipment; Professional development sponsorship; Expected work hours; Remote options
43821,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am actively looking for a job,Stock options; Vacation/days off; Health benefits; Professional development sponsorship; Expected work hours
44010,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Equipment; Meals
44094,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Long-term leave; Remote options
44102,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Stock options; Vacation/days off; Health benefits; Remote options; Meals
44140,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Health benefits; Expected work hours
44164,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Stock options; Retirement; Annual bonus; Health benefits; Expected work hours
44226,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Meals
44332,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
44336,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Retirement; Annual bonus; Vacation/days off; Health benefits; Remote options
44345,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
44441,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Annual bonus; Vacation/days off; Charitable match; Professional development sponsorship; Remote options
44466,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
44495,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Vacation/days off; Education sponsorship; Remote options
44610,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
44689,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
44722,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am actively looking for a job,Vacation/days off; Health benefits; Equipment; Expected work hours
44730,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Vacation/days off; Health benefits; Private office; Education sponsorship; Expected work hours
45198,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
45233,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
45335,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Vacation/days off; Charitable match; Health benefits
45354,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
45576,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
45584,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
45590,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Stock options; Retirement; Health benefits; Equipment; Professional development sponsorship
45606,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Vacation/days off; Expected work hours; Other
45667,Professional developer,Japan,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Professional development sponsorship; Education sponsorship; Child/elder care
45670,Professional developer,Japan,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Health benefits; Expected work hours; Child/elder care
45869,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
45892,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Stock options; Retirement; Vacation/days off; Health benefits; Remote options
45914,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
46137,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Vacation/days off; Equipment; Expected work hours; Meals
46261,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Vacation/days off; Equipment; Long-term leave; Expected work hours; Remote options
46360,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Health benefits; Equipment; Remote options
46382,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Vacation/days off; Professional development sponsorship; Remote options
46406,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Private office; Expected work hours
46453,Professional developer,Ireland,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Stock options; Retirement; Vacation/days off; Health benefits; Expected work hours
46485,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Vacation/days off; Health benefits; Expected work hours
46487,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Long-term leave; Expected work hours
46501,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Vacation/days off; Charitable match; Health benefits; Equipment; Meals
46506,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Vacation/days off; Health benefits; Long-term leave; Expected work hours; Other
46556,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Health benefits; Equipment; Professional development sponsorship
46624,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Vacation/days off; Equipment; Professional development sponsorship
46631,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",NA
46708,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Equipment; Professional development sponsorship; Education sponsorship; Expected work hours; Remote options
46736,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
46763,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
46793,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Private office; Professional development sponsorship; Remote options
46887,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
46971,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
47115,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
47233,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Equipment; Professional development sponsorship; Meals
47298,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
47399,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Health benefits; Equipment; Expected work hours; Remote options; Other
47487,Professional developer,Indonesia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am actively looking for a job,Retirement; Annual bonus; Health benefits; Equipment; Remote options
47555,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Long-term leave; Expected work hours
47637,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Health benefits; Equipment; Remote options
47640,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Expected work hours; Remote options; Meals
47797,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Expected work hours; Remote options
48017,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",None of these
48121,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Professional development sponsorship; Education sponsorship; Expected work hours; Remote options
48139,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
48143,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Equipment; Expected work hours
48235,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Equipment; Remote options; Meals
48353,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Vacation/days off; Equipment; Expected work hours; Remote options; Meals
48357,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,2,NA,NA
48368,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
48462,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Charitable match; Health benefits; Education sponsorship
48537,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
48539,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Retirement; Annual bonus; Health benefits; Expected work hours
48561,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,2,NA,NA
48610,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,None of these
48631,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Equipment; Expected work hours; Remote options
48645,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Health benefits; Equipment; Remote options
48685,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,I am not interested in new job opportunities,Vacation/days off; Health benefits; Education sponsorship; Expected work hours; Remote options
48824,Professional developer,Ireland,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Stock options; Annual bonus; Vacation/days off; Remote options
48860,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,I am actively looking for a job,Vacation/days off; Health benefits; Expected work hours; Remote options; Other
48905,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Stock options; Health benefits; Equipment; Professional development sponsorship; Remote options
48962,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
49046,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
49069,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Health benefits; Equipment; Expected work hours
49131,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Vacation/days off; Expected work hours; Remote options
49211,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Annual bonus; Equipment; Private office; Professional development sponsorship; Meals
49474,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Remote options; Meals
49594,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Equipment; Professional development sponsorship; Education sponsorship
49609,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,3,I am actively looking for a job,Stock options; Retirement; Health benefits; Equipment; Professional development sponsorship
